Kernel_size,Threads,Try_1,Try_2,Try_3
3,1,0.739157 ,0.739118 ,0.739565 
3,2,0.391833 ,0.391302 ,0.387735 
3,4,0.354548 ,0.354217 ,0.354936 
3,8,0.354849 ,0.354814 ,0.356393 
3,16,0.357204 ,0.355198 ,0.359467 
5,1,1.910726 ,1.909935 ,1.910798 
5,2,0.975675 ,0.975970 ,0.978886 
5,4,0.922220 ,0.923236 ,0.922892 
5,8,0.931392 ,0.923176 ,0.923284 
5,16,0.925077 ,0.935734 ,0.925765 
7,1,3.569669 ,3.571753 ,3.569217 
7,2,1.810336 ,1.807961 ,1.809813 
7,4,1.752321 ,1.752159 ,1.752519 
7,8,1.755564 ,1.758234 ,1.754552 
7,16,1.752250 ,1.753290 ,1.759793 
9,1,5.769405 ,5.772103 ,5.771627 
9,2,2.917914 ,2.929060 ,3.071496 
9,4,2.854387 ,2.854257 ,2.853558 
9,8,2.855472 ,2.899091 ,2.867875 
9,16,2.862990 ,2.858325 ,2.854248 
11,1,8.508578 ,8.515840 ,8.513295 
11,2,4.292865 ,4.287560 ,4.284812 
11,4,4.226119 ,4.226646 ,4.228689 
11,8,4.227696 ,4.226267 ,4.232787 
11,16,4.234668 ,4.228464 ,4.249921 
13,1,12.810499 ,12.817406 ,12.786846 
13,2,6.423763 ,6.421749 ,6.415656 
13,4,6.080660 ,6.080323 ,6.080119 
13,8,6.079417 ,6.087691 ,6.082000 
13,16,6.080925 ,6.081426 ,6.089782 
15,1,16.769659 ,16.770877 ,16.771123 
15,2,8.418647 ,8.418854 ,8.412511 
15,4,8.031636 ,8.028855 ,8.029429 
15,8,8.033150 ,8.032552 ,8.031627 
15,16,8.051428 ,8.058391 ,8.037199 
