Num_blocks,Threads,Try_1,Try_2,Try_3
1,2,3.228124,3.207136,3.204813
1,4,1.878179,1.908404,1.878511
1,8,1.196820,1.198554,1.196999
1,16,0.871960,0.882606,0.862796
1,32,0.713758,0.700387,0.705707
1,64,0.576577,0.601176,0.578927
1,128,0.542159,0.578019,0.545940
1,256,0.956693,0.895997,0.896040
2,2,1.886999,1.869029,1.861967
2,4,1.191364,1.199098,1.204812
2,8,0.868042,0.866377,0.871441
2,16,0.680403,0.686316,0.659650
2,32,0.589706,0.628245,0.592838
2,64,0.535582,0.541674,0.533520
2,128,0.893787,0.889553,0.867110
2,256,1.594359,1.593226,1.605389
7,2,0.894329,0.894227,0.883928
7,4,0.735904,0.745921,0.739963
7,8,0.673044,0.640666,0.628935
7,16,0.585304,0.583327,0.633674
7,32,0.948136,0.875639,0.883356
7,64,0.849844,0.865077,0.870529
7,128,0.873140,0.877640,0.866622
7,256,0.873824,0.857105,0.863431
14,2,0.717370,0.736853,0.754032
14,4,0.656417,0.642389,0.641630
14,8,0.593422,0.590465,0.596322
14,16,0.881641,0.879814,0.885561
14,32,0.874508,0.880383,0.875843
14,64,0.845944,0.869569,0.861752
14,128,0.866789,0.846489,0.869310
14,256,5.907151,5.922638,5.942676
21,2,0.718550,0.695268,0.702936
21,4,0.762035,0.766335,0.759204
21,8,0.732447,0.711574,0.718808
21,16,1.193351,1.195596,1.202494
21,32,2.129004,2.163000,2.137443
21,64,2.131629,2.143836,2.127829
21,128,5.933344,5.953173,5.930658
21,256,5.911155,5.943026,5.908899
28,2,0.641039,0.641450,0.647588
28,4,0.608312,0.589661,0.594039
28,8,0.907303,0.919443,0.867169
28,16,0.902515,0.873260,0.850296
28,32,0.845396,0.850800,0.866713
28,64,0.860942,0.844970,0.851445
28,128,5.908828,5.928263,5.913197
28,256,5.915930,5.945754,5.908051
